Page;Type;Price;Weblink
1;VW T-Roc 2.0 TSI R-Line DSG 4Motion;CHF 44'444.–;https://www.autoscout24.ch/de/d/vw-t-roc-20-tsi-r-line-dsg-4motion-11762129
1;VW Tiguan 2.0 TDI SCR R-Line 4Motion DSG;CHF 42'900.–;https://www.autoscout24.ch/de/d/vw-tiguan-20-tdi-scr-r-line-4motion-dsg-11769258
1;VW Tiguan 1.4TSIPHEV R-L DSG 245PS 5 Jahre Werksgarantie;CHF 47'900.–;https://www.autoscout24.ch/de/d/vw-tiguan-14tsiphev-r-l-dsg-245ps-5-jahre-werksgarantie-11766308
1;VW Tiguan 2.0 TDI SCR R-Line DSG;CHF 34'900.–;https://www.autoscout24.ch/de/d/vw-tiguan-20-tdi-scr-r-line-dsg-11759566
1;VW Passat Variant 2.0 TDI BMT Highline DSG ** Voll-Leder Ausstattung ** Navi mit RF-Kamera **;CHF 19'700.–;https://www.autoscout24.ch/de/d/vw-passat-variant-20-tdi-bmt-highline-dsg-voll-leder-ausstattung-navi-mit-rf-kamera-11771617
1;VW GOLF 2.0 TSI R DSG 4MOTION R  *** 5 JAHRE VW WERKSGARANTIE ***;CHF 44'900.–;https://www.autoscout24.ch/de/d/vw-golf-20-tsi-r-dsg-4motion-r-5-jahre-vw-werksgarantie-11762143
1;VW T7 MULTIVAN lang;CHF 67'900.–;https://www.autoscout24.ch/de/d/vw-t7-multivan-lang-11759963
1;VW Multivan kurz 1.5 TSI Liberty DSG;CHF 49'990.–;https://www.autoscout24.ch/de/d/vw-multivan-kurz-15-tsi-liberty-dsg-11771295
1;VW Tiguan 2.0 TDI SCR R-Line 4Motion DSG *CH-Fahrzeug* *AHK* *Leder* *Fahrassistenzpaket*;CHF 40'800.–;https://www.autoscout24.ch/de/d/vw-tiguan-20-tdi-scr-r-line-4motion-dsg-ch-fahrzeug-ahk-leder-fahrassistenzpaket-11744114
1;VW Tiguan 2.0 TDI SCR R-Line 4Motion DSG;CHF 43'900.–;https://www.autoscout24.ch/de/d/vw-tiguan-20-tdi-scr-r-line-4motion-dsg-11771944
1;VW Polo 1.0 TSI R-Line DSG;CHF 33'890.–;https://www.autoscout24.ch/de/d/vw-polo-10-tsi-r-line-dsg-11779033
1;VW Polo 1.0 TSI R-Line DSG;CHF 33'890.–;https://www.autoscout24.ch/de/d/vw-polo-10-tsi-r-line-dsg-11778884
1;VW Polo 1.0 TSI R-Line DSG;CHF 33'890.–;https://www.autoscout24.ch/de/d/vw-polo-10-tsi-r-line-dsg-11778867
1;VW Tiguan 2.0TSI R-Line 4Motion DSG;CHF 52'400.–;https://www.autoscout24.ch/de/d/vw-tiguan-20tsi-r-line-4motion-dsg-11777016
1;VW Polo 1.0 TSI Life DSG;CHF 24'900.–;https://www.autoscout24.ch/de/d/vw-polo-10-tsi-life-dsg-11776845
1;VW ID.5 Pro Performance 77 kWh;CHF 45'550.–;https://www.autoscout24.ch/de/d/vw-id5-pro-performance-77-kwh-11776844
1;VW Golf 1.5 e TSI ACT Life DSG;CHF 29'900.–;https://www.autoscout24.ch/de/d/vw-golf-15-e-tsi-act-life-dsg-11780625
1;VW Tiguan Allspace 2.0TSI R-Line 4Motion DSG;CHF 39'900.–;https://www.autoscout24.ch/de/d/vw-tiguan-allspace-20tsi-r-line-4motion-dsg-11780529
1;VW ID.Buzz Pro;CHF 59'800.–;https://www.autoscout24.ch/de/d/vw-idbuzz-pro-11783650
1;VW Passat 2.0 TDI BMT Elegance 4Motion DSG;CHF 32'990.–;https://www.autoscout24.ch/de/d/vw-passat-20-tdi-bmt-elegance-4motion-dsg-11776459
